Position_1,Position_2,MI
2527,3177,0.848649233747763
6183,12815,0.8131474067629474
2127,2527,0.5630140810140336
2127,3177,0.5630140810140335
222,12775,0.2879809007915208
222,1960,0.2879809007915207
13971,29635,0.272344110846861
1960,12775,0.23610910981726102
1660,24088,0.2251826604610092
5353,24088,0.22518266046100915
22032,22033,0.22518266046100913
14347,15108,0.2234238049464099
9226,14347,0.2234238049464099
9226,15108,0.2234238049464099
1660,5353,0.2234238049464099
2127,6183,0.2101963098500351
21941,26610,0.20546585168067324
2127,12815,0.20033083131262813
22786,23222,0.1940266495874584
2790,26529,0.17925705968452785
22813,28958,0.17925705968452782
2790,10198,0.17925705968452782
12789,22813,0.17925705968452782
6449,24088,0.17925705968452782
22813,26529,0.17925705968452782
11614,22770,0.1778877876413056
6449,10834,0.17776612750462983
6449,13972,0.17776612750462983
6449,14898,0.17776612750462983
5353,6449,0.1777661275046298
2790,25207,0.1777661275046298
2790,22556,0.1777661275046298
2790,22578,0.1777661275046298
1660,6449,0.17776612750462978
10198,25207,0.1763021296472773
10198,26529,0.1763021296472773
25207,26529,0.1763021296472773
2137,23570,0.17486431822261048
22578,25207,0.17486431822261045
11614,17288,0.17486431822261045
7785,8616,0.17486431822261045
23570,28153,0.17486431822261045
10198,22556,0.17486431822261042
22556,25207,0.17486431822261042
10198,22578,0.17486431822261042
22556,26529,0.17486431822261042
22578,26529,0.17486431822261042
23570,29000,0.17345197325946887
2137,29000,0.17345197325946887
2137,28153,0.17345197325946887
22556,22578,0.17345197325946887
28153,29000,0.17345197325946887
13972,14898,0.17206440140076898
12789,28958,0.17206440140076898
2939,28774,0.17206440140076898
10834,13972,0.17206440140076898
10834,14898,0.17206440140076898
2790,22577,0.17085550277715192
22577,25207,0.168095670687064
22577,26529,0.16809567068706396
10198,22577,0.16809567068706396
22556,22577,0.1667521491230985
22577,22578,0.1667521491230985
17288,22770,0.16280556893947884
22033,22813,0.15306148977653872
22032,22813,0.15306148977653872
3177,6183,0.14862729163030097
2527,6183,0.14862729163030092
23566,28677,0.14829191643235326
26529,28958,0.14715047399343587
22032,28958,0.14715047399343587
12789,22033,0.14715047399343584
12789,22032,0.14715047399343584
22033,28958,0.14715047399343584
2449,16221,0.14715047399343584
10834,24088,0.14715047399343584
13972,24088,0.14715047399343584
12789,26529,0.14715047399343584
14898,24088,0.14715047399343584
5353,14898,0.14602833689302622
5353,10834,0.14602833689302622
5353,13972,0.14602833689302622
1660,14898,0.1460283368930262
1660,13972,0.1460283368930262
1660,10834,0.1460283368930262
3177,12815,0.145412873455193
2527,12815,0.14541287345519296
222,21846,0.14156028732029732
1960,6183,0.1403415971708293
1960,12815,0.13974389117997948
2939,6525,0.13314250488987203
1663,27459,0.133142504889872
12775,21846,0.133142504889872
6525,28774,0.133142504889872
2527,24977,0.1327525892858127
3177,24977,0.13275258928581268
222,6183,0.13139518278651052
222,12815,0.13008919214646872
241,22813,0.12697973915753843
241,22032,0.12466117669583215
241,22033,0.12466117669583213
1960,21846,0.12418014503507024
241,26610,0.12415737243838945
2790,22813,0.12353609125917796
241,12789,0.12353609125917796
241,28958,0.12353609125917794
22032,26529,0.12187765844865155
22033,26529,0.12187765844865155
22813,25207,0.12135091358209274
10198,22813,0.12135091358209273
22556,22813,0.12028954353174996
22578,22813,0.12028954353174996
6183,12775,0.11690277697869401
6183,27459,0.11690277697869399
12775,12815,0.11638628530286071
12815,27459,0.11638628530286071
10198,26610,0.1154599418804087
22577,22813,0.11323057785690209
2790,22770,0.11166698319744221
241,22770,0.11141382446309843
241,22786,0.1110662654374332
2790,22786,0.1100248509571977
22770,25207,0.10925515105507957
10198,22786,0.10800538401704217
22786,26529,0.10800538401704216
22786,25207,0.10800538401704216
22786,22813,0.10800538401704216
2127,24977,0.10784210916856161
22556,22786,0.10702601295190545
12789,22786,0.10702601295190545
22577,22786,0.10702601295190542
22786,28958,0.10702601295190542
22578,22786,0.10702601295190542
6183,22786,0.10685231597119202
22770,22813,0.1065058354670946
12815,22786,0.10532703885780884
241,2790,0.10512490449718154
241,10198,0.1032968126173992
241,25207,0.1032968126173992
241,26529,0.10329681261739919
22770,26529,0.10313136198225323
22770,26610,0.10313136198225323
22786,26610,0.10243632853686047
241,22556,0.1024087988389889
241,23222,0.1024087988389889
241,21941,0.1024087988389889
241,22578,0.1024087988389889
21941,22770,0.10205921629548025
22556,22770,0.10205921629548023
10198,22770,0.10205921629548023
12789,22770,0.10205921629548023
22770,28958,0.10205921629548022
22578,22770,0.10205921629548022
22813,23222,0.09984291553979714
2790,12789,0.0982095295764355
2790,28958,0.09820952957643549
504,21846,0.09741471000286517
411,21610,0.09740159848926096
6183,24088,0.09688605127432008
10198,28958,0.09663393794953855
25207,28958,0.09663393794953855
10198,21941,0.09663393794953853
10198,12789,0.09663393794953853
12789,25207,0.09663393794953853
12815,24088,0.0964185234896231
22578,28958,0.09586683091303182
23222,28958,0.09586683091303182
22556,28958,0.0958668309130318
12789,22556,0.0958668309130318
12789,22578,0.0958668309130318
12789,23222,0.0958668309130318
241,22577,0.0951157343113242
1660,6183,0.09422580939209176
5353,6183,0.09422580939209176
6183,15108,0.09422580939209174
6183,14347,0.09422580939209174
6183,9226,0.09422580939209174
12815,14347,0.0937844349091305
1660,12815,0.0937844349091305
12815,15108,0.0937844349091305
5353,12815,0.0937844349091305
9226,12815,0.0937844349091305
22577,22770,0.09363074784048428
22813,26610,0.09359974706783342
2790,26610,0.0918625431076434
25207,26610,0.09102082376131544
23222,26610,0.09019626295284888
22578,26610,0.09019626295284888
22556,26610,0.09019626295284888
23566,26610,0.09019626295284885
12789,26610,0.08938831905117721
26610,28958,0.08938831905117718
22577,28958,0.08916700677666203
12789,22577,0.08916700677666203
6183,22577,0.08870351364918878
222,504,0.08802816029146238
12815,22577,0.08793882456754791
22033,22786,0.08558044201860827
22786,23570,0.08558044201860827
22032,22786,0.08558044201860827
21941,22786,0.08486203367935022
2137,22786,0.08486203367935022
22786,29000,0.08486203367935022
22786,28153,0.08486203367935022
22770,22786,0.08435624162292993
394,6525,0.08390176172018089
504,12775,0.08325545497181784
22577,26610,0.08203267962362554
26529,26610,0.07995769063548112
22033,26610,0.07995769063548111
22032,26610,0.0799576906354811
26610,28677,0.07927567534899223
504,1960,0.0790333480924218
21941,22813,0.078956148277807
2790,22032,0.07895614827780699
2790,22033,0.07895614827780698
2790,23222,0.07835603349979693
2790,21941,0.07835603349979692
10198,22033,0.07776604899033533
10198,22032,0.07776604899033532
22033,25207,0.07776604899033532
22032,25207,0.07776604899033532
21941,25207,0.07718592964217381
21941,23566,0.07718592964217381
10198,23222,0.0771859296421738
22032,22578,0.0771859296421738
22032,23222,0.0771859296421738
22032,22556,0.0771859296421738
22033,22556,0.07718592964217379
22033,22578,0.07718592964217379
22033,23222,0.07718592964217379
23222,25207,0.07718592964217379
23222,26529,0.07718592964217379
23222,23570,0.07718592964217379
6183,6449,0.07701766306560814
23222,29000,0.07661541971515265
23222,28153,0.07661541971515265
2137,23222,0.07661541971515265
22578,23222,0.07661541971515264
21941,23222,0.07661541971515264
22556,23222,0.07661541971515264
21941,22578,0.07661541971515264
21941,22556,0.07661541971515262
6449,12815,0.07617959197952998
12789,21941,0.07605427242095948
21941,28958,0.07605427242095948
22032,22770,0.07573355090348569
22033,22770,0.07573355090348569
2939,22770,0.07504787328092073
22770,23222,0.07504787328092072
22770,28774,0.07504787328092072
21610,28795,0.0742584742314925
2790,6183,0.07391970330010704
2127,16221,0.07391272947734927
2790,12815,0.07314509651230816
6183,10198,0.07314509651230815
6183,25207,0.07314509651230815
6183,22578,0.07276392598430592
6183,22556,0.07276392598430592
6183,23222,0.07276392598430592
6183,23570,0.07276392598430592
6183,28153,0.07276392598430591
2137,6183,0.0727639259843059
12815,23570,0.07238678143344253
1663,6183,0.07238678143344253
12815,25207,0.07238678143344252
10198,12815,0.07238678143344252
6183,29000,0.07238678143344252
12815,26529,0.07238678143344252
6183,13972,0.07238678143344252
6183,14898,0.0723867814334425
6183,21846,0.0723867814334425
6183,10834,0.0723867814334425
12815,29000,0.0720136153926677
1663,12815,0.0720136153926677
12815,22578,0.0720136153926677
2137,12815,0.0720136153926677
12815,22556,0.0720136153926677
12815,23222,0.0720136153926677
10834,12815,0.0720136153926677
12815,28153,0.07201361539266768
12815,21846,0.07201361539266768
12815,14898,0.07201361539266768
12815,13972,0.07201361539266768
22033,22577,0.07057542591318325
22032,22577,0.07057542591318325
21941,22577,0.07007047879348285
22577,23222,0.07007047879348284
21941,22032,0.06841895694577606
21941,22033,0.06841895694577606
22032,29405,0.06841895694577606
22033,29405,0.06841895694577606
21941,26529,0.06841895694577606
21941,28677,0.06793876895654832
274,22770,0.059998978274876394
271,22770,0.059998978274876394
186,22770,0.059998978274876394
237,22770,0.059998978274876394
268,22770,0.059998978274876394
216,22770,0.059998978274876394
198,22770,0.059998978274876394
207,22770,0.059998978274876394
313,22770,0.059998978274876394
295,22770,0.059998978274876394
206,22770,0.059998978274876394
293,22770,0.059998978274876394
300,22770,0.059998978274876394
278,22770,0.059998978274876394
203,22770,0.059998978274876394
281,22770,0.059998978274876394
247,22770,0.059998978274876394
320,22770,0.059998978274876394
248,22770,0.059998978274876394
331,22770,0.059998978274876394
323,22770,0.059998978274876394
180,22770,0.059998978274876394
289,22770,0.059998978274876394
254,22770,0.059998978274876394
282,22770,0.059998978274876394
269,22770,0.059998978274876394
308,22770,0.059998978274876394
197,22770,0.059998978274876394
192,22770,0.059998978274876394
315,22770,0.059998978274876394
305,22770,0.059998978274876394
204,22770,0.059998978274876394
329,22770,0.059998978274876394
250,22770,0.059998978274876394
311,22770,0.059998978274876394
255,22770,0.059998978274876394
233,22770,0.059998978274876394
265,22770,0.059998978274876394
190,22770,0.059998978274876394
199,22770,0.059998978274876394
189,22770,0.059998978274876394
284,22770,0.059998978274876394
273,22770,0.059998978274876394
261,22770,0.059998978274876394
193,22770,0.059998978274876394
188,22770,0.059998978274876394
246,22770,0.059998978274876394
256,22770,0.059998978274876394
245,22770,0.059998978274876394
304,22770,0.059998978274876394
280,22770,0.059998978274876394
321,22770,0.059998978274876394
208,22770,0.059998978274876394
260,22770,0.059998978274876394
307,22770,0.059998978274876394
185,22770,0.059998978274876394
319,22770,0.059998978274876394
